Method,Path,Delegated Permissions,App Permissions,Owner,In v1.0,Has Granular Permissions,v1.0 + granular,Doc link
69% of Teams Graph APIs are in v1.0 not just beta
69% of Teams Graph APIs have granular permissions in v1.0

Teamwork APIs (includes Shifts):
88% of Teams Graph APIs have granular permissions (anything other than Group.Read/ReadWrite.All)
73% of Teams Graph APIs are in v1.0 not just beta
61% of Teams Graph APIs have granular permissions in v1.0

Teams Graph Ecosystem (includes Shifts and IC3):
93% of Teams Graph APIs have granular permissions (anything other than Group.Read/ReadWrite.All)
61% of Teams Graph APIs are in v1.0 not just beta
53% of Teams Graph APIs have granular permissions in v1.0

ns in v1.0

